Казанский кафедральный собор;Казанская пл., д. 2
Храм Воскресения Христова у Пискаревского кладбища г.Санкт-Петербурга;пр.Непокоренных, д.68А
Храм святого пророка Божия Илии в Колтушах (строится);пос. Колтуши,
Храм св. пророка Илии в д. Согиницы (зимний);дер. Согиницы
Храм св. пророка Илии на бульваре Авиаторов г. Гатчина (деревянный);город Гатчина, бульвар Авиаторов
Храм Свт. Николая Чудотворца в пос. Торфяное (строится);посёлок Торфяное
Храм Покрова Божией Матери в Южно-Приморском парке (планируется);улица Доблести, уч. 1, напротив д. 24, корп. 1, лит. А, у Южно-Приморского парка
Храм Алексия, человека Божия, при ПНИ № 9 в Красном селе (строится);Красное Село, ул. Красногородская, д. 1.
Храм Усекновения Главы св. Иоанна Предтечи в г. Кировске (строится);ул. Набережная, д. 6 а
Часовня иконы Божией Матери "Живоносный Источник" в Старо-Паново;198205, г. Санкт-Петербург, Красносельский район, ул. Набережная, д.45 .
Храм прп. Александра Свирского в пос. Паша;пос. Паша
Храм Киприана Стороженского в деревне Сторожно;187648, Ленинградская обл., Волховский р-н, д. Сторожно.
Храм иконы Божией Матери "Взыскание погибших" на ул. Добровольцев в Лигово;ул. Добровольцев, дом 32.
Храм св. блгв. вел. кн. Александра Невского в пос. Сосновый Бор;Полянская волость, пос. Сосновый Бор, д. 18а.
Домовый храм Рождества Пророка Предтечи и Крестителя Иоанна в Воронцовском дворце;ул. Садовая, д. 26
Часовня свт. Иоасафа Белгородского при Высшем Военном училище радиоэлектроники;Санкт-Петербург, г. Пушкин, Кадетский бульв., д. 23.
Часовня Тихвинской иконы Божией Матери;188502, Ленинградская обл., Ломоносовский р-н, д. Горбунки.
Храм святого страстотерпца царевича Алексия в деревне Разбегаево;д. Разбегаево.
Домовый храм Алексия, Человека Божия, при Психоневрологическом интернате № 9 в Красном селе;Красное Село, ул. Красногородская, д. 1.
Храм свв. апп. Петра и Павла в д. Ропша;Ленинградская обл., Ломоносовский р-н, д. Ропша.
Храм Святой Троицы в Красном Селе;г. Красное Село, пр. Ленина, д.108.
Храм св. Архангела Михаила в д. Зажупанье;188551, Ленинградская обл., Сланцевский р-н, п/о Заручье, д. Зажупанье.
Часовня Успения Пресвятой Богородицы;188551, Ленинградская обл., Сланцевский р-н, д. Заручье.
Храм Успения Пресвятой Богородицы в д. Заручье;188551, Ленинградская обл., Сланцевский р-н, д. Заручье, д. 37.
Храм св. блгв. вел. кн. Александра Невского в д. Новоселье;188574, Ленинградская обл., Сланцевский р-н, д. Новоселье.
Часовня св. мц. Параскевы Пятницы в д. Пенино;188554, Ленинградская обл., Сланцевский р-н, д. Пенино.
Храм Покрова Пресвятой Богородицы в с. Козья Гора;п/о Поречье, д. Козья Гора.
Часовня Тихвинской иконы Божией Матери в д. Загорье;188556, Ленинградская обл., Сланцевский р-н, д. Загорье, придорожная часовня.
Храм-часовня св. вмч. Георгия Победоносца в с. Ложголово;188556, Ленинградская обл., Сланцевский р-н, с. Ложголово.
Храм св. вмч. Георгия Победоносца в с. Ложголово;188556, Ленинградская обл., Сланцевский р-н, с. Ложглово, ул. Загородная, д. 6.
Храм Рождества Христова в пос. Старополье;188550, Ленинградская обл., Сланцевский р-н, пос. Старополье.
Храм св. Архангела Михаила в д. Сижно;д. Сижно, д. 2, при дороге в Новоселье.
Храм Казанской иконы Божией Матери в д. Большие Поля;188540, Ленинградская обл., Сланцевский р-н, д. Большие Поля.
Часовня св. блгв. вел. кн. Александра Невского при спецшколе № 10 закрытого типа для трудных подростков;188540, Ленинградская обл., Сланцевский р-н, д. Большие Поля.
Часовня св. прп. Серафима Саровского;188540, Ленинградская обл., г. Сланцы, ул. Кирова, д. 19.
Храм прп. Серафима Саровского г. Сланцы;город Сланцы, ул. Кирова, д. 14.
Храм-часовня Святой Животворящей Троицы в пос. Ивановское;пос. Ивановское, возле кладбища.
Храм св. ап. и ев. Иоанна Богослова в пос. Ивановское;188459, Ленинградская обл., Кингисеппский р-н, пос. Ивановское, ул. Заречная, д. 38.
Храм Свт. Николая Чудотворца в с. Котлы;188467, Ленинградская обл., Кингисеппский р-н, с. Котлы.
Храм Воздвижения Креста Господня в с. Ополье;село Ополье, д. 24.
Часовня иконы Божией Матери «Знамение»;г. Ивангород, Городская площадь.
Храм Свт. Николая Чудотворца в Ивангородской крепости;г. Ивангород, Ивангородская крепость.
Храм Успения Пресвятой Богородицы в г. Ивангороде;г. Ивангород, Кингисеппское шоссе, д. 1-б, Ивангородская крепость.
Храм Пресвятой Троицы в г. Ивангороде;г. Ивангород, Парусинка, ул. Парковая, д. 3.
Храм св. прав. Иова Многострадального на Волковском кладбище;192007, СПб, Фрунзенский р-н, Камчатская ул., д. 6-А
Храм Рождества св. Иоанна Предтечи в д. Мотохово;187134, Ленинградская обл., Киришский р-н, д. Мотохово, ул. Кооперативная, д. 22.
Храм Покрова Пресвятой Богородицы в г. п. Рябово;187041, Ленинградская обл., Тосненский р-н, г. п. Рябово, ул. Школьная, д. 1а.
Храм Успения Пресвятой Богородицы в пос. Будогощь;Юр. адрес: 187120, Ленинградская обл., Киришский р-н, пос. Будогощь, ул.Исполкомовская, д. 2-б.
Храм Пресвятой Троицы д. Марьино;деревня Марьино.
Часовня Покрова Пресвятой Богородицы в пос. Пельгора;Ленинградская обл., Тосненский р-н, пос. Пельгора.
Храм Свт. Николая Чудотворца и св. мц. царицы Александры в с. Ушаки;187030 Ленинградская область, Тосненский район, с. Ушаки, проспект Кирова, 30А
Храм Покрова Пресвятой Богородицы в пос. Шапки;посёлок Шапки, ул. Школьная, д. 9.
Храм Вознесения Господня в пос. Радофиниково;п. Радофинниково, ул. Малая Лесная 7
Домовый храм Свт. Николая Чудотворца при женской колонии в пос. Саблино;187010, Ленинградская обл., Тосненский р-н, пос. Саблино, Ульяновское шоссе.
Храм св. Страстотерпца Цесаревича Алексия в пос. Саблино;187010, Ленинградская обл., Тосненский р-н, пос. Саблино, Привокзальная площадь.
Храм Свт. Николая Чудотворца в пос. Саблино;пос. Саблино, ул. Кладбищенская, д. 1.
Храм Свт. Николая Чудотворца в г. Никольское;187026, Ленинградская обл., Тосненский р-н, г. Никольское, ул. Октябрьская, д. 17-а.
Часовня Свт. Николая Чудотворца в д. Попрудка;Ленинградская обл., Тосненский р-н, д. Попрудка.
Храм свв. апп. Петра и Павла в г. Любань;город Любань, Загородное шоссе, д. 1.
Храм Казанской иконы Божией Матери в г. Тосно;город Тосно, пр. Ленина 64
Храм Рождества Пресвятой Богородицы в г. Кириши;187110, Ленинградская обл., г. Кириши, ул. Строителей, д. 52
Часовня иконы Божией Матери «Всех скорбящих Радость» в д. Змеева Новинка;187110, Ленинградская обл., Киришский р-н, Будогощьская волость, д. Змеева Новинка.
Свято-Троицкий храм в г. Кириши;187110, Ленинградская обл., г. Кириши, ул. Мира, д. 10.
Часовня Успения Пресвятой Богородицы в д. Заголодно;187631, Ленинградская обл., Бокситогорский р-н, д. Заголодное.
Храм св. пророка Илии в пос. Ефимовский;187620, Ленинградская обл., Бокситогорский р-н, пос. Ефимовский, ул. Молодежная, д. 52.
Часовня св. вмч. и целителя Пантелеимона в д.Михеево;187600, Ленинградская обл., Бокситогорский р-н, д. Михеево.
Храм Святой Троицы в д. Озерёво;деревня Озерево
Храм Воздвижения Честного и Животворящего Креста Господня в г. Пикалево;187600, Ленинградская обл., Бокситогорский р-н, г. Пикалево, ул. Строителей, д. 2.
Храм св. прав. Иоанна Кронштадтского в пос. Подборовье;187640, Лен.область, Бокситогорский район, пос. Подборовье, ул. Новая, д. 1.
Часовня иконы Божией Матери "Всех скорбящих Радость" в селе Сомино;187663, Лен.область Бокситогорский район, с.Сомино.
Храм во имя иконы Божией Матери «Невская Скоропослушница» в пос. Заборье;Ленинградская область, Бокситогорский р-н, пос. Заборье, ул. Кооперативная.
Храм Рождества Пресвятой Богородицы в д. Лиственка;187550, Ленинградская область, Бокситогорский р-н, с. Лиственка.
Храм Тихвинской иконы Божией Матери в с. Поток;187500, Ленинградская область, Бокситогорский р-н, с. Поток.
Храм свв. апп. Петра и Павла в с. Сомино;с. Сомино, ул. Ярославская, д. 31.
Храм Покрова Пресвятой Богородицы в г. Бокситогорске;187550, Ленинградская обл., г. Бокситогорск, ул. Южная, д. 3.
Храм Покрова Пресвятой Богородицы в с. Горка;187511, Ленинградская обл., Тихвинский р-н, с. Горка.
Часовня свв. мцц. Веры, Надежды, Любови и матери их Софии в д. Бор;Ленинградская обл., Тихвинский р-н, д. Бор.
Храм Казанской иконы Божией Матери в пос. Шугозеро;187530, Ленинградская обл., Тихвинский р-н, пос. Шугозеро, ул. Школьная, д. 11.
Часовня Свт. Николая Чудотворца при СИ-2 г. Тихвина;187500, Ленинградская обл., г. Тихвин.
Часовня свв. апп. Петра и Павла в д. Ганьково;Ленинградская обл., Тихвинский р-н, д. Ганьково.
Часовня Тихвинской иконы Божией Матери в д.Рапля;Ленинградская обл., Тихвинский р-н, д. Рапля.
Часовня Всех Святых на кладбище г. Тихвина;г. Тихвин, Городское кладбище.
Часовня св. пророка Илии в д. Воложба;187500, Ленинградская обл., Тихвинский р-н, д. Воложба.
Часовня св. блгв. кн. Александра Невского в деревне Корбеничи;187500, Ленинградская обл., Тихвинский р-н, д. Корбеничи.
Часовня св. пророка Илии в д. Ерёмина Гора;187500, Ленинградская обл., Тихвинский р-н, д. Еремина Гора.
Храм Свт. Николая Чудотворца в с. Исаково;187514, Ленинградская обл., Тихвинский р-н, с. Исаково.
Храм Святой Троицы в с. Ново-Андреево;с. Ново-Андреево.
Храм св. прав. Иова Многострадального г.Тихвин;187552, Ленинградская область, г.Тихвин, ул.Николина гора, 1
Храм иконы Божией Матери «Знамение» в Тихвине;187500, Ленинградская обл., г. Тихвин, ул. Знаменская, д. 12.
Храм свв. мцц. Веры, Надежды, Любови и Софии в пос. Усть-Луга;188471, Ленинградская обл., Кингисеппский р-н, пос. Усть-Луга, д. Краколье.
Храм Свт. Николая Чудотворца в д. Б. Куземкино;188475, Ленинградская обл., Кингисеппский р-н, п/о Куземкино.
Храм Пресвятой Троицы в п.Усть-Луга;188471, Ленинградская обл., Кингисеппский р-н, пос. Усть-Луга.
Храм Свт. Николая Чудотворца в пос. Усть-Луга;188475, Ленинградская обл., Кингисеппский р-н, пос. Усть-Луга.
Храм Свт. Николая Чудотворца в д. Ручьи;188477, Ленинградская обл., Кингисеппский р-н, д. Ручьи.
Храм Преображения Господня в с. Копорье;188525, Ленинградская обл., Ломоносовский р-н, с. Копорье, Копорская крепость.
Храм Святой Живоначальной Троицы в пос. Гостилицы;п/о Гостилицы, ул. Нижняя, д. 4.
Храм иконы Божией Матери «Взыскание погибших» на кладбище в пос. Лебяжье;188532, Ленинградская обл., Ломоносовский р-н, пос. Лебяжье, кладбище пос. Риголово.
Храм Свт. Николая Чудотворца в пос. Лебяжье (купеческий);188532, Ленинградская обл., Ломоносовский р-н, пос. Лебяжье, ул. Приморская, д. 18.
Храм Свт. Николая Чудотворца в пос. Лебяжье;188532, Ленинградская обл., Ломоносовский р-н, пос. Лебяжье, Лоцманская ул., д. 36.
Храм Святой Троицы в д. Гора-Валдай;д. Гора-Валдай.
Храм св. вмч. Пантелеймона в Сосновом Бору;г.Сосновый Бор, ул. Соколова, д.2, а/я 123/6.
Часовня Свт. Николая Чудотворца;188540, Ленинградская обл., г. Сосновый Бор, мемориал «Устье».
Храм иконы Божией Матери «Знамение» в д. Красные Горы;188291, Ленинградская обл., Лужский р-н, д. Красные Горы.
Храм св. ап. и ев. Иоанна Богослова в садоводческом массиве «Мшинская»;садоводческий массив «Мшинская», торгово-бытовой блок.
Храм-часовня св. пророка Илии в д.Ям-Тесово;д. Ям-Тесово
Храм Рождества св. Иоанна Предтечи с. Щупоголово;188222, Ленинградская обл., Лужский р-н, пос. Щупоголово.
Храм свв. мчч. Флора и Лавра в д. Клюкошицы;188274, Ленинградская обл., Лужский р-н, п/о Печково, д. Клюкошицы.
Храм св. вмч. Георгия Победоносца в пос. Осьмино;188290, Ленинградская обл., Лужский р-н, пос. Осьмино, ул. Ленина (ходит мартшрутка от метро "АВТОВО", электричка по расписанию с Балтийского вокзала до Луги, оттуда автобусом до "Осьмино")
Храм Спаса Нерукотворного в д. Сяберо;188281, Ленинградская обл., Лужский р-н, Волошовская волость, д. Сяберо.
Храм Воскресения Христова в с. Петровская Горка;188274, Ленинградская обл., Лужский р-н, Скребловская волость, с. Петровская Горка, п/о Голубково.
Храм Воскресения Христова в с. Торошковичи;188277, Ленинградская обл., Лужский р-н, д. Торошковичи.
Храм Спасо-Преображения Господня в пос. Толмачево;пос. Толмачево, ул. Парковая, д. 15.
Часовня св. прмч. Трифона Городецкого;Володарская волость, с. Городец.
Храм Успения Божией Матери в с. Городец;с. Городец.
Часовня Свт. Николая в пос. Оредеж;188220, Ленинградская обл., Лужский р-н, пос. Оредеж.
Храм-часовня Покрова Пресвятой Богородицы на ст. Мшинская;ст. Мшинская.
Часовня Тихвинской иконы Божией Матери в д. Шима;188296, Ленинградская обл., Лужский р-н, д. Шима.
Храм-часовня свв. мчч. Флора и Лавра в д. Сорочкино;д. Сорочкино.
Часовня Рождества св. Иоанна Предтечи в д. Юбры;188286, Ленинградская обл., Лужский р-н, д. Юбры.
Часовня Святой Троицы в д. Бетково;деревня Бетково.
Часовня Свт. Николая Чудотворца;188292, Ленинградская обл., Лужский р-н, пос. Рель, д. Заденьшено.
Храм св. вмц. Екатерины города Луга;г. Луга, пр. Кирова, д. 54.
Часовня св. равноап. вел. кн. Владимира в д. Ладва (Васильевская);187430, Ленинградская обл., Подпорожский р-н, Винницкой вол., д. Ладва.
Часовня св. пророка Илии в д. Сарозеро;187430, Ленинградская обл., Подпорожский р-н, Винницкой вол., д. Сарозеро.
Часовня Прп. Сергия Радонежского в д. Гонгиничи;187430, Ленинградская обл., Подпорожский р-н, Винницкой вол., д. Гонгиничи (в 40 км от с. Винницы).
Храм Покрова Пресвятой Богородицы в д. Чикозеро (Аверкиевская);187430, Ленинградская обл., Подпорожский р-н, Винницкой вол., д. Чикозеро.
Храм Свт. Николая Чудотворца в д. Ярославичи;187430, Ленинградская обл., Подпорожский р-н, Винницкой волости., д. Ярославичи.
Храм Смоленской иконы Божией Матери в с. Винницы;187760, Ленинградская обл., Подпорожский р-н, с. Винницы, ул. Советская, д. 35-а.
Храм Свт. Николая Чудотворца в д. Согиницы;дер. Согиницы, ул. Никольская, д. 10
Храм Казанской иконы Божией Матери в пос. Никольский;пгт. Никольский, ул. Марии Лисицыной
Храм Воскресения Христова в д. Курпово (Важины);187742, Ленинградская обл., Подпорожский р-н, д. Курпово, ул. Ветеранов, д. 29.
Часовня иконы Божией Матери «В скорбех и печалех Утешение» в Доме-Интернате для престарелых и инвалидов;187750, Ленинградская обл., Подпорожский р-н, пос. Вознесенье, ул. Онежской флотилии, д. 38.
Храм Вознесения Господня в пос. Вознесенье;187750, Ленинградская обл., Подпорожский р-н, пос. Вознесенье, ул. Комсомольская, д. 6.
Храм иконы Божией Матери «Знамение» в д. Турыгино;187710, Ленинградская обл., Лодейнопольский р-н, Доможировская волость, д. Турыгино.
Храм свт. Василия Великого в д. Акулова гора;187714, Ленинградская обл., Лодейнопольский р-н, Имоченская волость, д. Акулова Гора.
Скит с храмом свт. Николая Чудотворца в д. Яровщина;д. Яровщина.
Храм свв. апп. Петра и Павла, д. Хмелезеро;Ленинградская обл., Подпорожский р-н, д. Хмелезеро.
Храм св. Архистратига Михаила в с. Алеховщина;187719, Ленинградская обл., Лодейнопольский р-н, с. Алеховщина, ул. Сторожоская, д. 7-а.
Часовня Свт. Николая Чудотворца в Лодейном поле;187710, Ленинградская обл., г. Лодейное Поле, городская пристань.
Храм-часовня иконы Пресвятой Богородицы «Утоли моя печали» при доме-интернате для престарелых и инвалидов в Лодейном поле;187710 Ленинградская обл., г. Лодейное Поле, Ленинградское шоссе, д. 71.
Часовня иконы Божией Матери «Живоносный Источник» в Лодейном Поле;187710, Ленинградская обл., г. Лодейное Поле, ул. Карла Маркса, д. 3.
Часовня иконы Божией Матери «Троеручица» в д. Люговичи;187710, Ленинградская обл., Лодейнопольский р-н, д. Люговичи.
Домовый храм св. вмц. Варвары в г. Лодейное Поле;187710, Ленинградская обл., г. Лодейное Поле, ул. Солнечная, д. 8.
Храм Всех Святых на старом городском кладбище в г. Лодейное Поле;187710, Ленинградская обл., г. Лодейное Поле, старое городское кладбище.
Храм Свт. Николая Чудотворца в д. Пономарево;187710, Ленинградская обл., Лодейнопольский р-н, п/о Доможирово, д. Пономарево.
Храм свв. апп. Петра и Павла в Лодейном Поле;187710, Ленинградская обл., г. Лодейное Поле, ул. Карла Маркса, д. 3.
Храм свт. Модеста, патриарха Иерусалимского в д. Иссад;187430, Ленинградская обл., Волховский р-н, д. Иссад.
Домовый храм Тихвинской иконы Божией Матери в д. Иссад;187430, Ленинградская обл., Волховский р-н, д. Иссад.
Храм Святой Живоначальной Троицы в д. Иссад;д. Иссад, д. 14-а.
Часовня прмц. Елисаветы и инок. Варвары в г. Сясьстрой;187420, Ленинградская обл., Волховский р-н, г. Сясьстрой.
Храм Успения Пресвятой Богородицы в г. Сясьстрой;187403, Ленинградская обл., Волховский р-н, г. Сясьстрой, ул. Ленина, д. 77-а.
Храм вмч. Феодора Стратилата в д. Кисельня;187413, Ленинградская обл., Волховский р-н, д. Кисельня.
Свято-Троицкий храм в д. Горка-Хваловская;Хваловская волость, деревня Горка-Хваловская.
Храм св. вмч. и целителя Пантелеимона в с. Загубье;187469, Ленинградская обл., Волховский р-н, с. Загубье.
Храм Преображения Господня в с. Загубье;187429, Ленинградская обл., Волховский р-н, с. Загубье.
Храм-часовня Тихвинской иконы Божией Матери в д. Балдино;187463, Ленинградская обл., Волховский р-н, д. Балдино.
Домовый храм прп. Александра Свирского в пос. Паша при Православном Доме милосердия;187708, Ленинградская обл., Волховский р-н, пос. Паша.
Храм Свт. Николая Чудотворца в деревне Сторожно;187648, Ленинградская обл., Волховский р-н, д. Сторожно.
Храм Рождества Христова в д. Надкопанье;187648, Ленинградская обл., Волховский р-н, д. Надкопанье.
Храм Собора Пресвятой Богородицы в с. Рогожа;187420, Ленинградская обл., Волховский р-н,, Сясьстроевское городское поселение д. Рогожа., д 16а.
Храм св. пророка Илии в г. Волхов;г. Волхов, микрорайон Плеханово, д. 67.
Часовня прмц. Елисаветы Феодоровны при отделенческой больнице г. Волхова;187401, Ленинградская обл., г. Волхов, ул. Воронежская, д. 1. Пешком от ст. Волховстрой 20 мин.
Часовня Страстотерпца царя Николая при городской больнице г. Волхова;187406, Ленинградская обл., г. Волхов, ул. Авиационная, д. 42
Часовня св. ап. Андрея Первозванного в д. Велеша;187412, Ленинградская обл., Волховский р-н, д. Велеша.
Часовня Рождества св. Иоанна Предтечи в д. Прусынская Горка;187414, Ленинградская обл., Волховский р-н, д. Прусынская Горка.
Часовня св. блаж. Ксении Петербургской в г. Волхов;187401, Ленинградская обл., г. Волхов, микрорайон Труфаново, городское кладбище.
Храм Введения во храм Пресвятой Богородицы, д. Вындин Остров;Ленинградская обл., Волховский р-н, д. Вындин Остров.
Храм св. Архангела Михаила в г. Волхов;187403, Ленинградская обл., г. Волхов, ул. Зеленая, д. 8.
Собор Рождества Пресвятой Богородицы в г. Новая Ладога;город Новая Ладога, проспект Карла Маркса, дом 49.
Часовня Казанской иконы Божией Матери в г. Шлиссельбурге;188691, Ленинградская обл., Кировский р-н, г. Шлиссельбург, Красная пл., д. 1.
Храм Свт. Николая Чудотворца в г. Шлиссельбурге;188691, Ленинградская обл., Кировский р-н, г. Шлиссельбург, Красная пл., д. 2.
Храм Богоявления на Гутуевском острове;198035, Санкт-Петербург, ул. Двинская, д. 2.
Храм свв. Царственных Страстотерпцев на ст. Сологубовка;188680, Ленинградская обл., Кировский р-н, ст. Сологубовка
Храм Тихвинской иконы Божией Матери в пос. Павлово-на-Неве (единоверческая);187323, Ленинградская обл., Кировский р-н, п. Павлово-на-Неве, Ленинградский пр., д. 93.
Спасская часовня в Путилово;187310, Ленинградская обл., Кировский р-н, пос. Путилово.
Храм свв. апп. Петра и Павла в д. Петровщина;187310, Ленинградская обл., Кировский р-н, д. Петровщина.
Храм св. блаженной Ксении Петербургской в пос. Приладожский;187326, Ленинградская обл., Кировский р-н, пос. Приладожский.
Часовня Казанской иконы Божией Матери на территории воинской части № 51046 в пос. Мга;187300, Ленинградская обл., Кировский р-н, пос. Мга, в/ч № 51046.
Храм Свт. Николая Чудотворца в пос. Мга;187300, Ленинградская обл., Кировский р-н, пос. Мга, ул. Железнодорожная, д. 46.
Молитвенный дом Иверской иконы Божией Матери;187355, Ленинградская обл., Кировский р-н, дер. Сухое.
Храм-часовня свв. апп. Петра и Павла в пос. Назия;187310, Ленинградская обл., Кировский р-н, пос. Назия.
Домовый храм Владимирской иконы Божией Матери при ИК-4, пос. Форносово;1873022, Ленинградская обл., Тосненский р-н, учреждение УС-20/04.
Храм Тихвинской иконы Божией Матери в пос. Назия;187310, Ленинградская обл., Кировский р-н, пос. Назия, ул. Октябрьская, д. 19-а.
Храм Покрова Пресвятой Богородицы в пос. Шум;187350, Ленинградская обл., Кировский р-н, пос. Шум.
Храм Святой Живоначальной Троицы в д. Лаврово;деревня Лаврово, наб. р. Лава, д. 26 а.
Храм Успения Божией Матери в д. Лезье;187301, Ленинградская обл., Кировский р-н, д.Лезье.
Часовня св. вмч. Георгия Победоносца на Ивановском плацдарме;188694, Ленинградская обл., Кировский р-н, г. Отрадное, ул. Заводская, д. 9.
Храм св. Иоанна Милостивого в г. Отрадное;187330, Ленинградская обл., Кировский р-н, г. Отрадное, ул. Ленина д.12.
Часовня св. вмч. Георгия Победоносца в пос. Синявино;Ленинградская обл., Кировский р-н, пос. Синявино.
Часовня св. вмч. Георгия Победоносца на Невском пятачке;187362, Ленинградская обл., г. Кировск.
Храм Усекновения Главы св. Иоанна Предтечи в г. Кировске;ул. Набережная, д. 6 а
Храм иконы Божией Матери «Всех скорбящих Радость» на Шпалерной ул.;191123, г. Санкт-Петербург, Центральный р-н, ул. Шпалерная, д.35 «А»
Храм Тихвинской иконы Божией Матери в пос. Красносельское;188836, Россия, Ленинградская область, Выборгский район, поселок Красносельское, ул. Советская, 19
Храм свв. первоверх. апп. Петра и Павла в г. Выборге;188800, Ленинградская обл., г. Выборг, ул. Госпитальная, д. 8, Выборгский военный госпиталь.
Храм Рождества св. Иоанна Предтечи в пос. Глебычево;188916 Ленинградская область, Выборгский район п. Прибылово, д. 40б
Храм иконы Божией Матери «Всех скорбящих Радость» в пос. Коробицыно;188832, Ленинградская обл., Выборгский р-н, пос. Коробицыно.
Храм свв. апп. Петра и Павла в пос. Красная Долина;188840, Ленинградская обл., Выборгский р-н, пос. Красная Долина.
Храм Покрова Пресвятой Богородицы в пос. Советский;188918, Ленинградская обл., Выборгский район, пос. Советский, ул. Школьная, д. 9.
Храм иконы Божией Матери «Умягчение злых сердец» в п. Каменка;188827, Ленинградская обл., Выборгский р-н, пос. Каменка.
Храм св. вмч. Георгия Победоносца в пос. Каменка;Юр. Адрес: 188827, Ленинградская обл., Выборгский р-н, пос. Каменка, д. 19. Находится на территории военного городка.
Храм Покрова Божией Матери в пос. Кондратьево;188908, Ленинградская обл., Выборгский р-н, пос. Кондратьево.
Храм Рождества Пресвятой Богородицы в г. Светогорске;188990, Ленинградская обл., Выборгский р-н, г. Светогорск, ул. Кирова, д. 15.
Храм прп. Серафима Саровского в г. Каменногорске;188950, Россия, Ленинградская область, Выборгский р-н, г. Каменногорск, ул. Леншоссе, дом 100
Храм Свт. Николая Чудотворца в г. Приморске;г. Приморск, Выборгское шоссе, д. 1.
Часовня Нерукотворенного Образа Господа Иисуса Христа при СИ-3 г. Выборга;188800, Ленинградская обл., г. Выборг, ул. Резервная, д. 2-а.
Часовня иконы Божией Матери «Нечаянная Радость» при СИ-3 г. Выборга;188800, Ленинградская обл., г. Выборг, ул. Резервная, д. 2-а.
Храм Собора Двенадцати апостолов на подворье Свято-Ильинского храма в Селезневской волости (строится);г. Выборг, Селезневская волость, ж/д ст. «Лужайка».
Храм св. пророка Божия Илии в г. Выборге;г. Выборг, Ильинская гора, ул. Ильинская, д. 1.
Часовня св. пророка Илии в с. Сумск;Ленинградская обл., Волосовский р-н, с. Сумск.
Часовня Покрова Пресвятой Богородицы в д. Остроговицы;Ленинградская обл., Волосовский р-н, д. Остроговицы.
Часовня св. вмч. Георгия Победоносца;188410, Ленинградская обл., Волосовский р-н, д. Домашковицы.
Храм св. вмц. Екатерины в пос. Каложицы;188440, Ленинградская обл., Волосовский р-н, п. Каложицы, ул. Клубная.
Храм Пресвятой Троицы в с. Редкино;п/о Б. Сабск, с. Редкино, храм Пресвятой Троицы.
Храм Свт. Николая Чудотворца в пос. Большая Ижора;п. Большая Ижора, ул. Октябрьская д.3;
Храм Покрова Пресвятой Богородицы в д. Хотнежа;188445, Ленинградская обл., Волосовский р-н, д. Хотнежа.
Храм Свт. Николая Чудотворца в д. Ястребино;п/о Беседа, д. Ястребино, д. 46
Храм Воскресения Словущего в д. Яблоницы;188442, Ленинградская обл., Волосовский р-н, п/о Яблоницы, д. Яблоницы, д. 72.
Храм св. вмц. Ирины в д. Волгово;Губаницкая волость, д. Волгово, д. 56.
Храм Казанской иконы Божией Матери в д. Извара;188414, Ленинградская обл., Волосовский р-н, п/о Извара.
Пятогорский Богородицкий женский монастырь;д. Курковицы
Николо-Пятницкий Храм деревни Ильеши;188425, Ленинградская обл., Волосовский р-н, п/о Зимитицы, с. Ильеши, Никольский храм.
Храм св. равноап. Елены в д. Шелково;188423, Ленинградская обл., Волосовский р-н, д. Шелково.
Храм св. Архистратига Михаила в д. Бегуницы;деревня Бегуницы.
Храм Свт. Николая Чудотворца в пос. Кикерино;пос. Кикерино, ул. Михайловская, д. 1.
Храм Успения Пресвятой Богородицы в д. Большая Вруда;188416, Ленинградская обл., Волосовский р-н, д. Большая Вруда.
Храм св. блгв. вел. кн. Александра Невского в пос. Волосово;188410, Ленинградская обл., Волосовский р-н, г. Волосово, ул. Хрустицкого, д. 19.
Храм св. прп. Серафима Саровского в пос. Чаща;поселок Чаща, улица Дорожная, дом 44
Храм Святой Живоначальной Троицы при Государственном историко-художественном дворцово-парковом музее-заповеднике «Гатчина» г. Гатчина;г. Гатчина, Красноармейский (бывший Екатеринвердский) проспект, д. 1.
Храм Свт. Николая Чудотворца при городской больнице г. Коммунар;188320, Ленинградская обл., Гатчинский р-н, г. Коммунар, ул. Строителей, д. 3.
Храм св. равноап. вел. кн. Владимира в г. Коммунар;город Коммунар, ул. Строителей, д. 3A
Храм свт. Алексия, митрополита Московского, в пос. Тайцы;188340, Ленинградская обл., Гатчинский р-н, пос. Тайцы, Гатчинское шоссе, д. 16-а.
Храм св. равноап. Марии Магдалины в д. Вохоново;188358, Ленинградская обл., Гатчинский р-н, Сяськелевская волость, д. Вохоново, Вохоновское шоссе, 7.
Храм свт. Николая Чудотворца в пос. Белогорка;188347, Ленинградская обл., Гатчинский р-н, Сиверская волость, пос. Белогорка, ул. Институтская, д. 2.
Часовня св. вмч. Георгия Победоносца в пос. Семрино;Ленинградская обл., Гатчинский р-н, пос. Семрино.
Храм Казанской иконы Божией Матери в пос. Сусанино;188030d Ленинградская обл., Гатчинский р-н, пос. Сусанино, 5-я линия, д. 40.
Храм Казанской иконы Божией Матери в пос. Вырица;пос. Вырица, пр. Кирова, д. 49
Храм Введения во храм Пресвятой Богородицы в с. Введенское;188380, Ленинградская обл., Гатчинский р-н, с. Введенское.
